OBJECTID,JURIS,SE_ANNO_CAD_DATA,CITYNAME,GIS_AREA,GIS_LENGTH,SHAPE_Length,SHAPE_Area
1,AL,,Algona,,,38144.6667483599,36411046.1242091
2,AU,,Auburn,,,209231.045916413,785689220.829742
3,BA,,Beaux Arts,,,6720.78581766607,2274706.7125085
4,BD,,Black Diamond,,,6629.56899044799,2412696.82249095
5,BD,,Black Diamond,,,85786.1061995506,198366063.876327
6,BE,,Bellevue,,,197801.209066323,975527105.269837
7,BO,,Bothell,,,72519.131881171,201828283.586028
8,BO,,Bothell,,,5210.20957725005,76447.6471324336
9,BU,,Burien,,,114953.725687609,280172550.332845
10,CA,,Carnation,,,3319.44536076211,501622.181543214
11,CA,,Carnation,,,9309.66410038794,3851215.24236167
12,CA,,Carnation,,,32951.1968512195,28060780.2556879
13,CH,,Clyde Hill,,,23926.065214351,29480423.3809014
14,CO,,Covington,,,110111.197628866,168567953.159093
15,DM,,Des Moines,,,105405.475905906,183827328.661977
16,DU,,Duvall,,,5555.23122707951,1532704.07061638
17,DU,,Duvall,,,65284.1542996649,66439295.4601137
18,EN,,Enumclaw,,,4367.19890998215,1101354.84482851
19,EN,,Enumclaw,,,240.014444537583,3599.97505113117
20,EN,,Enumclaw,,,3306.80120260751,653400.397740969
21,EN,,Enumclaw,,,841.48190643047,44252.6327981823
22,EN,,Enumclaw,,,92516.0924337817,141200332.0127
23,EN,,Enumclaw,,,4530.39252901589,1133084.3577617
24,EN,,Enumclaw,,,600.235963095997,22509.7716358586
25,FW,,Federal Way,,,137678.500500196,630307740.445821
26,HP,,Hunts Point,,,16346.5012813813,12575689.9636425
27,IS,,Issaquah,,,185565.978444547,340183233.310993
28,KE,,Kent,,,13284.4918744674,6790029.92307394
29,KE,,Kent,,,7927.81868770684,3327652.28757332
30,KE,,Kent,,,7368.86781274776,2038638.10652991
31,KE,,Kent,,,15759.2207860931,13797451.2362347
32,KE,,Kent,,,6795.10665061144,1869191.17750092
33,KE,,Kent,,,241346.370283724,931028442.685919
34,KI,,Kirkland,,,144925.87991743,506136213.316621
35,KM,,Kenmore,,,70804.4569259103,175084913.051503
36,LF,,Lake Forest Park,,,60485.7806450878,100384972.409619
37,ME,,Medina,,,37691.2331980435,48398935.9632498
38,MI,,Mercer Island,,,76532.4388143936,176323952.980489
39,MT,,Milton,,,25623.8014455958,17793433.0627921
40,MV,,Maple Valley,,,84956.3370007037,172223585.419803
41,NB,,North Bend,,,101722.946777348,123370003.28892
42,NC,,Newcastle,,,61752.7184686689,124359975.811397
43,NP,,Normandy Park,,,55513.0886752945,70704771.9518969
44,PA,,Pacific,,,35985.1202375681,50876535.1271574
45,RM,,Redmond,,,7059.64381388209,2948756.7545353
46,RM,,Redmond,,,153767.272318184,440998450.347226
47,RM,,Redmond,,,27014.7246655462,36040038.8075401
48,RN,,Renton,,,1084.04430915781,73399.2607060661
49,RN,,Renton,,,227872.979250816,659074183.682078
50,SE,,Seattle,,,341837.02272776,3997734494.69399
51,SH,,Shoreline,,,91986.2257661907,322960481.595444
52,SK,,Skykomish,,,2215.25793496774,278764.258854057
53,SK,,Skykomish,,,15466.3828467063,8998149.40245109
54,SM,,Sammamish,,,168092.961931325,670552512.762511
55,SN,,Snoqualmie,,,2725.06258410788,312454.948678947
56,SN,,Snoqualmie,,,11800.5699194751,5446069.26375528
57,SN,,Snoqualmie,,,114919.650123159,200955062.202588
58,ST,,SeaTac,,,101651.442927864,286633787.86348
59,TU,,Tukwila,,,125941.439038716,268327532.101761
60,WO,,Woodinville,,,89621.6325126796,157711311.36592
61,YP,,Yarrow Point,,,16975.5217829718,13210699.1411632
